file,α,sig,bak,ovrl
data/C0/p232_187.wav,Noisy,4.5,2.4375,3.375
data/C0/p232_297.wav,Noisy,4.5,3.375,3.9375
data/C0/p232_330.wav,Noisy,4.625,2.9375,3.6875
data/C1/p257_107.wav,1.0,4.75,4.9375,4.8125
data/C1/p257_179.wav,1.0,4.3125,4.875,4.25
data/C1/p257_376.wav,1.0,4.4375,4.1875,4.1875
data/C4/p232_081.wav,0.9,4.375,4.25,4.1875
data/C4/p232_146.wav,0.9,4.625,4.8125,4.5
data/C4/p257_217.wav,0.9,3.9375,4.5625,4.0625
data/C2/p232_415.wav,0.5,3.75,3.6875,3.4375
data/C2/p257_062.wav,0.5,4.1875,3.1875,3.625
data/C2/p257_200.wav,0.5,4.25,3.875,3.8125
data/C3/p232_041.wav,0.1,4.3125,3.875,4.0
data/C3/p232_118.wav,0.1,4.1875,3.9375,3.9375
data/C3/p232_301.wav,0.1,4.5625,3.6875,3.875
